School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
610532,Irene C. Hernandez Middle School for the Advancement of Science,MS,FALSE,Weak,34,Weak,34,Weak,27,Weak,27,Weak,28,Weak,27,95.50%,970,63
610125,Irma C Ruiz Elementary School,ES,TRUE,Average,57,Average,59,Average,57,Strong,62,Weak,51,Average,56,95.50%,916,31
610276,Irvin C Mollison Elementary School,ES,FALSE,Average,44,,,Average,46,Weak,38,Weak,,,,91.10%,244,38
610103,Isabelle C O'Keeffe Elementary School,ES,FALSE,Very Weak,17,,,Weak,28,Weak,29,Weak,,,,92.10%,575,43
610256,Jackie Robinson Elementary School,ES,FALSE,,,,,,,,,Weak,,,,90.50%,140,36
609797,Jacob Beidler Elementary School,ES,FALSE,Strong,63,,,Strong,70,Average,58,Weak,,,,95.40%,411,27
609766,Jacqueline B Vaughn Occupational High School,HS,FALSE,Average,57,Strong,72,Weak,33,Weak,20,Weak,67,Strong,69,87.60%,203,15
609912,James B Farnsworth Elementary School,ES,FALSE,Average,55,Strong,62,Average,40,Weak,38,Weak,63,Average,59,94.20%,574,11
610070,James B McPherson Elementary School,ES,FALSE,Strong,71,,,Average,48,Weak,38,Weak,,,,96.50%,695,4
610066,James E McDade Elementary Classical School,ES,FALSE,Very Strong,99,,,Average,57,Average,52,Weak,,,,96.20%,199,44
609803,James G Blaine Elementary School,ES,FALSE,Very Strong,99,,,Strong,76,Strong,74,Weak,,,,96.40%,923,6
609983,James Hedges Elementary School,ES,FALSE,Weak,22,,,Weak,22,Weak,24,Weak,,,,95.40%,845,61
610047,James Madison Elementary School,ES,FALSE,Weak,39,,,Weak,32,Weak,28,Weak,,,,94.90%,317,43
610074,James Monroe Elementary School,ES,FALSE,Average,45,,,Weak,26,Weak,22,Weak,,,,95.10%,1125,22
610200,James N Thorp Elementary School,ES,FALSE,Weak,32,,,Weak,39,Weak,39,Weak,,,,91.80%,449,46
610107,James Otis Elementary School,ES,FALSE,Very Strong,83,Very Strong,92,Strong,67,Average,58,Weak,92,Very Strong,94,95.50%,491,24
609891,James R Doolittle Jr Elementary School,ES,FALSE,Weak,30,,,Weak,25,Average,46,Weak,,,,91.40%,306,35
